RSI_Period,RSI_OB,RSI_OS,MACD_Fast,MACD_Slow,MACD_Signal,Profit,Success_Rate,Total_Trades
7,75,25,12,26,5,-109.91999999999098,25.0,8
7,75,30,8,20,5,-133.13999999999942,37.5,64
14,70,30,8,26,9,-242.71000000002823,25.0,20
14,65,30,12,26,5,-264.85000000002765,30.434782608695656,23
14,75,35,12,26,5,-396.95000000001164,39.726027397260275,73
7,70,25,12,20,5,-405.4399999999878,20.0,10
14,65,25,8,26,9,-580.5699999999924,50.0,2
14,75,25,8,26,9,-580.5699999999924,50.0,2
14,70,25,8,26,9,-580.5699999999924,50.0,2
7,70,35,8,26,9,-672.9399999999878,36.76470588235294,136
7,75,35,12,20,5,-706.460000000021,34.306569343065696,137
14,75,25,12,26,9,-734.929999999993,50.0,2
14,65,25,12,26,9,-734.929999999993,50.0,2
14,70,25,12,26,9,-734.929999999993,50.0,2
7,70,25,8,20,9,-874.0199999999895,25.0,12
14,70,25,12,20,9,-919.8099999999977,50.0,2
14,75,25,12,20,9,-919.8099999999977,50.0,2
14,65,25,12,20,9,-919.8099999999977,50.0,2
14,75,35,8,26,9,-945.6800000000076,38.23529411764706,68
14,70,25,12,26,5,-945.6899999999878,33.33333333333333,3
14,75,25,12,26,5,-945.6899999999878,33.33333333333333,3
14,65,25,12,26,5,-945.6899999999878,33.33333333333333,3
7,75,25,12,20,5,-954.429999999993,20.0,10
7,65,25,12,20,5,-960.4399999999878,20.0,10
14,65,35,8,20,9,-1108.7000000000553,41.17647058823529,85
14,65,30,8,26,9,-1152.610000000037,25.0,20
7,70,30,8,20,9,-1289.950000000048,40.0,50
14,70,35,12,26,5,-1302.0100000000093,39.726027397260275,73
7,65,25,8,20,9,-1429.0199999999895,25.0,12
14,75,35,8,20,9,-1567.9600000000428,41.17647058823529,85
7,75,35,8,26,9,-1570.6499999999578,36.029411764705884,136
14,70,35,8,26,9,-1969.4300000000076,38.23529411764706,68
7,65,35,8,20,9,-2076.810000000063,40.76433121019109,157
14,70,25,8,26,5,-2244.6200000000026,16.666666666666664,6
14,75,25,8,26,5,-2244.6200000000026,16.666666666666664,6
14,65,25,8,26,5,-2244.6200000000026,16.666666666666664,6
14,65,25,8,20,9,-2263.389999999992,16.666666666666664,6
14,65,25,12,20,5,-2263.389999999992,16.666666666666664,6
14,75,25,12,20,5,-2263.389999999992,16.666666666666664,6
14,75,25,8,20,9,-2263.389999999992,16.666666666666664,6
14,70,25,12,20,5,-2263.389999999992,16.666666666666664,6
14,70,25,8,20,9,-2263.389999999992,16.666666666666664,6
7,70,30,8,20,5,-2374.1300000000047,37.5,64
7,75,25,8,20,9,-2394.079999999987,16.666666666666664,12
14,70,35,8,20,9,-2478.3700000000317,41.17647058823529,85
7,75,30,8,20,9,-2887.6200000000463,38.0,50
14,75,25,8,20,5,-2938.560000000005,22.22222222222222,9
14,65,25,8,20,5,-2938.560000000005,22.22222222222222,9
14,70,25,8,20,5,-2938.560000000005,22.22222222222222,9
7,70,35,8,26,5,-3128.05000000001,34.645669291338585,127
7,65,30,8,20,5,-3629.6500000000233,37.5,64
7,65,35,12,26,5,-3749.129999999983,37.06896551724138,116
7,65,30,8,20,9,-3772.240000000056,40.0,50
